event_id,organizer_id,activity_id,sport_cluster,skill_level,max_participants,duration_hours,start_time,latitude,longitude,geo_cluster,day_of_week,time_of_day,fill_rate,participant_count,skill_diversity,social_density_cat,avg_organizer_rating,f1,f2,f3,f4,f5,f6,f7,f8
0,420,17,0,3,12,2.0,2023-06-07 11:00:00,45.818951,15.88583,4,3,0,0.229,3,0.928,1,2.34,0.8768,0.4005,0.4956,0.4456,0.1626,0.8679,0.4071,0.2059
1,6469,2,0,0,19,1.3,2023-02-07 11:00:00,45.822526,15.97332,0,2,0,0.467,9,0.707,2,2.65,0.9379,0.3512,0.5168,0.4695,0.2776,0.9105,0.378,0.3118
2,5243,3,2,2,16,1.6,2023-10-17 09:00:00,45.817322,15.893153,4,2,0,0.557,9,1.081,2,3.11,0.4785,0.9421,0.2631,0.7243,0.3282,0.255,0.199,0.5048
3,1810,3,2,0,4,0.5,2024-12-10 10:00:00,45.848061,15.955848,1,2,0,0.658,3,0.185,1,2.46,0.4017,0.8713,0.202,0.7233,0.2956,0.3543,0.3623,0.5299
4,4830,4,6,1,12,2.5,2023-09-24 18:00:00,45.802254,15.880993,4,0,2,0.302,4,0.39,1,3.19,0.7237,0.2958,0.2766,0.6833,0.1889,0.2494,1.0,0.4733
5,2550,1,1,1,2,1.2,2023-05-16 11:00:00,45.798196,16.056537,2,2,0,0.165,0,1.161,0,2.47,0.7174,0.3831,0.3799,0.4061,0.5981,0.1474,0.5723,0.2932
6,3615,10,4,0,4,1.8,2023-01-22 18:00:00,45.85147,15.950516,1,0,2,0.307,1,0.374,0,3.39,0.831,0.6168,0.6968,0.9037,0.2152,0.4561,0.8413,0.483
7,6476,11,3,0,9,1.7,2023-03-31 18:00:00,45.814104,15.892424,4,5,2,0.317,3,0.959,1,1.83,0.4912,0.5687,0.8738,0.5688,0.7773,0.1453,0.5502,0.8429
8,792,30,5,0,4,1.6,2023-10-12 20:00:00,45.818836,15.961579,0,4,2,0.374,1,0.858,0,2.34,0.3223,0.4886,0.0011,0.6818,0.3151,0.6175,0.3718,0.2826
9,4189,2,0,0,17,1.3,2024-08-27 11:00:00,45.844887,15.961688,1,2,0,0.373,6,0.942,1,1.88,0.9127,0.3034,0.5755,0.5196,0.2631,0.9269,0.397,0.3592
10,7794,7,0,1,5,0.5,2024-07-03 10:00:00,45.809181,15.878057,4,3,0,0.287,1,0.679,0,2.48,0.8925,0.2528,0.558,0.4806,0.1844,0.8949,0.4497,0.3431
11,2751,9,1,0,10,1.4,2023-01-14 11:00:00,45.822939,15.964083,0,6,0,0.503,5,1.246,1,1.97,0.7311,0.2888,0.3265,0.4806,0.6387,0.2394,0.4426,0.3073
12,7439,29,1,0,20,2.0,2024-07-06 09:00:00,45.803666,15.891002,4,6,0,0.404,8,0.416,1,1.97,0.8348,0.3633,0.3328,0.4034,0.6019,0.1666,0.4866,0.3407
13,1008,1,1,0,14,1.6,2024-03-17 09:00:00,45.826438,15.904356,4,0,0,0.482,7,1.152,1,1.85,0.7842,0.3049,0.1218,0.3637,0.5267,0.1971,0.4202,0.2871
14,3842,18,7,0,6,0.8,2024-11-04 10:00:00,45.823158,15.8834,4,1,0,0.466,3,0.793,1,1.09,0.4793,0.3658,0.5573,0.4706,0.9187,0.3546,0.3648,0.7263
15,6094,22,7,2,6,1.4,2023-03-25 10:00:00,45.745363,15.970789,3,6,0,0.142,1,0.009,0,3.46,0.5371,0.469,0.6321,0.4591,0.8719,0.2629,0.3101,0.6557
16,5209,29,1,1,7,1.7,2024-09-05 20:00:00,45.79657,15.88683,4,4,2,0.622,4,0.764,1,2.5,0.749,0.2583,0.2355,0.3426,0.5006,0.2331,0.5799,0.2869
17,8954,3,2,1,27,0.5,2024-05-14 18:00:00,45.804053,16.066473,2,2,2,0.297,8,0.417,1,3.62,0.3877,0.9429,0.1926,0.7888,0.3426,0.3622,0.31,0.4483
18,874,19,4,0,12,1.2,2023-01-07 11:00:00,45.756378,15.972267,3,6,0,0.075,1,0.369,0,2.95,0.7586,0.602,0.7212,0.9105,0.1728,0.4787,0.8238,0.3956
19,5371,0,1,2,7,0.5,2023-05-14 20:00:00,45.805303,15.975821,0,0,2,0.872,6,0.835,1,2.36,0.79,0.3477,0.2697,0.38,0.5462,0.1912,0.5361,0.2522
20,4359,29,1,2,7,1.8,2023-12-17 10:00:00,45.804216,16.039959,2,0,0,0.307,2,0.618,0,2.57,0.8295,0.2965,0.2628,0.4267,0.5143,0.1256,0.573,0.3088
