user_id,event_id,signal_type,rating,label,implicit_label,signal_weight,timestamp,organizer_is_followed
6457,573,join_no_rate,,1,1,1.0,2023-01-01 10:55:14.538473,0
7211,573,leave,,0,-1,-1.5,2023-01-01 10:55:23.077971,0
1912,573,join_rated,1.0,0,1,2.0,2023-01-01 10:56:21.415349,0
6237,573,join_no_rate,,1,1,1.0,2023-01-01 10:58:34.308181,0
5932,573,join_no_rate,,1,1,1.0,2023-01-01 10:58:51.598430,0
6914,573,join_rated,3.0,1,1,3.0,2023-01-01 11:02:21.078514,0
956,573,join_no_rate,,1,1,1.0,2023-01-01 11:02:25.092632,0
8554,573,join_no_rate,,1,1,1.0,2023-01-01 11:02:25.107521,0
6446,573,join_rated,4.0,1,1,3.0,2023-01-01 11:02:42.961143,0
1883,573,join_rated,4.0,1,1,3.0,2023-01-01 11:05:11.026352,0
6396,573,join_rated,4.0,1,1,3.0,2023-01-01 11:05:13.704452,0
1401,573,join_rated,1.0,0,1,2.0,2023-01-01 11:05:16.334245,0
4499,573,join_rated,4.0,1,1,3.0,2023-01-01 11:05:20.284661,0
4614,573,join_rated,2.0,0,1,2.0,2023-01-01 11:06:05.096477,0
3770,573,leave,,0,-1,-1.5,2023-01-01 11:09:13.091068,0
7307,573,join_no_rate,,1,1,1.0,2023-01-01 11:09:39.927458,0
6497,573,join_rated,1.0,0,1,2.0,2023-01-01 11:10:38.914903,0
7039,573,leave,,0,-1,-1.5,2023-01-01 11:14:48.905781,0
6718,573,join_rated,4.0,1,1,3.0,2023-01-01 11:17:22.235541,0
4511,573,leave,,0,-1,-1.5,2023-01-01 11:18:49.580490,0
6098,573,join_rated,4.0,1,1,3.0,2023-01-01 11:19:04.957762,0
3350,573,leave,,0,-1,-1.5,2023-01-01 11:22:41.834666,0
5736,573,join_rated,4.0,1,1,3.0,2023-01-01 11:25:01.973708,0
3228,573,join_rated,4.0,1,1,3.0,2023-01-01 11:26:23.222374,0
9643,573,join_rated,2.0,0,1,2.0,2023-01-01 11:27:30.426634,0
7094,573,join_rated,4.0,1,1,3.0,2023-01-01 11:27:34.100234,0
4393,573,join_no_rate,,1,1,1.0,2023-01-01 11:27:45.822612,0
5539,573,join_rated,2.0,0,1,2.0,2023-01-01 11:28:52.624663,0
4224,573,join_no_rate,,1,1,1.0,2023-01-01 11:28:56.590130,0
3012,573,join_rated,3.0,1,1,3.0,2023-01-01 11:30:36.925362,0
