user_id,motivation_type,frequency_tier,openness,conscientiousness,extraversion,agreeableness,neuroticism,hardiness,confidence,locus_of_control,fa_score,fb_score,preferred_session_duration,organizing_openness,leadership_inclination,max_travel_distance,weekly_activity_target,pushes_through_discomfort,preferred_group_size,acquaintance_preference,enjoys_meeting_new_people,activity_vs_social,motivated_by_competition,planning_horizon,feels_like_burden,age,gender,latitude,longitude,geo_cluster,user_cluster,preferred_activities,preferred_skills,availability_days,availability_times,participation_groups
0,social,regular,0.2231,0.7631,0.8955,0.6226,0.2056,0.7407,0.5,0.7732,0.7337,0.7797,91,2,4,40,6,4,9,3,5,5,2,4,2,38,2,45.808235,15.974315,0,0,"25,17,1","1,1,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
1,casual_recreational,occasional,0.8847,0.6443,0.8079,0.9057,0.3159,0.4961,0.4526,0.4623,0.7051,0.7531,96,2,4,24,5,3,8,3,5,5,3,4,3,16,2,45.801153,15.983039,0,0,5,1,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2,unmotivated,sparse,0.728,0.4882,0.3325,0.6263,0.743,0.4156,0.4036,0.856,0.3966,0.4981,85,0,2,8,3,3,5,0,3,2,3,3,4,20,1,45.789011,16.062701,2,2,"16,30","3,3","0,2,3,5","0,1,2,3","0,1,2"
3,social,sparse,0.525,0.4835,0.7923,0.9674,0.6786,0.3714,0.6241,0.7592,0.4218,0.7307,94,2,5,16,4,4,7,2,5,5,4,3,4,50,2,45.852516,15.945523,1,2,27,2,"1,3,4,6","0,1,2,3","2,3"
4,competitive,regular,0.4056,0.8964,0.7526,0.4053,0.2424,0.6568,0.6536,0.4746,0.8462,0.74,81,2,5,29,6,5,7,3,3,4,3,4,1,32,2,45.810169,15.969887,0,0,1,1,"0,1,2,3,4,5,6","0,1,2,3","2,3"
5,unmotivated,sparse,0.3988,0.2735,0.3323,0.7711,0.9272,0.219,0.3391,0.41,0.2738,0.3812,85,0,2,8,2,2,3,1,2,1,2,3,5,22,2,45.807198,15.870606,4,2,21,3,"2,5,6","0,1,2","0,1,2"
6,social,regular,0.4784,0.4312,0.7888,0.5398,0.4248,0.6223,0.7065,0.6683,0.489,0.6035,88,2,4,22,4,3,7,2,4,4,4,3,3,39,2,45.83266,15.880215,4,2,"12,5,29,25","0,3,3,0","0,2,4,6","0,1,2,3","1,2,3"
7,social,frequent,0.3748,0.158,0.5883,0.845,0.3608,0.4801,0.376,0.6272,0.3541,0.6565,96,1,3,32,2,2,8,2,3,2,3,2,2,57,1,45.863274,15.95438,1,2,14,2,"0,1,2,5,6","0,1,2,3","2,3"
8,competitive,occasional,0.5514,0.8344,0.2344,0.349,0.3826,0.7391,0.5368,0.4848,0.7275,0.2936,79,0,2,29,7,4,5,2,2,3,2,4,2,63,3,45.753463,15.972091,3,1,"16,23,14","2,2,2","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
9,casual_recreational,occasional,0.6228,0.2854,0.6072,0.5397,0.3712,0.3895,0.4812,0.7752,0.4267,0.6791,44,1,4,24,3,2,10,3,3,2,4,3,3,51,1,45.797279,15.972257,0,2,"12,8,24","1,2,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
10,casual_recreational,occasional,0.9148,0.6194,0.5944,0.7485,0.4481,0.6937,0.2931,0.6618,0.6109,0.5928,101,1,3,24,4,3,6,2,4,3,3,4,2,31,0,45.844898,15.961103,1,0,"2,16","1,1","0,1,2,3,4,5,6","0,1,2,3",2
